image_path;file_name;label
data/images/2661734b21874fdf9e35a4319a9e7462.jpg;2661734b21874fdf9e35a4319a9e7462.jpg;6
data/images/0c8af9b8e62f4cb498392e806236e5e0.jpg;0c8af9b8e62f4cb498392e806236e5e0.jpg;6
data/images/ecb33a23f90b47fe8ee1dfe3e4d5f0df.jpg;ecb33a23f90b47fe8ee1dfe3e4d5f0df.jpg;6
data/images/adc88a3f9fb34ae79142ba9f12a6f1e1.jpg;adc88a3f9fb34ae79142ba9f12a6f1e1.jpg;6
data/images/bc228459f662459f80fbce99bedd9d20.jpg;bc228459f662459f80fbce99bedd9d20.jpg;6
data/images/2f33d7aaa7684ad9a96e21845c8c7126.jpg;2f33d7aaa7684ad9a96e21845c8c7126.jpg;6
data/images/61b90b63dcb9479c9a7064c07a4d6645.jpg;61b90b63dcb9479c9a7064c07a4d6645.jpg;6
data/images/a6805b35d09d4b1ea3f0b1b51de6e32e.jpg;a6805b35d09d4b1ea3f0b1b51de6e32e.jpg;6
data/images/518889521019455a857729f9f1b9ab7e.jpg;518889521019455a857729f9f1b9ab7e.jpg;6
data/images/02e7fc0869664405961d6183c9650c09.jpg;02e7fc0869664405961d6183c9650c09.jpg;6
data/images/c3ad636657c341e0bf1dc79329a2f37f.jpg;c3ad636657c341e0bf1dc79329a2f37f.jpg;6
data/images/97d9007f618b4df8ab0f55148ecc44d1.jpg;97d9007f618b4df8ab0f55148ecc44d1.jpg;6
data/images/c8b405b8b87347d68f60fd37ac6a09c7.jpg;c8b405b8b87347d68f60fd37ac6a09c7.jpg;6
data/images/7787cd8a9a0d4aeeb242234207b7ea3b.jpg;7787cd8a9a0d4aeeb242234207b7ea3b.jpg;6
data/images/a3ee280613e14c5a9b154f4d5e4eb529.jpg;a3ee280613e14c5a9b154f4d5e4eb529.jpg;6
data/images/5f8b5a183ed3492cb81d3734cd47c29c.jpg;5f8b5a183ed3492cb81d3734cd47c29c.jpg;6
data/images/c4741969737e4dca92334649d1fe33e9.jpg;c4741969737e4dca92334649d1fe33e9.jpg;6
data/images/ea0ccf9087aa4cd8995288cc0ab6d2ba.jpg;ea0ccf9087aa4cd8995288cc0ab6d2ba.jpg;6
data/images/c0f92babdecf4146a78a702be6ff5506.jpg;c0f92babdecf4146a78a702be6ff5506.jpg;6
data/images/768694b934864218b8f8b706084e6bdf.jpg;768694b934864218b8f8b706084e6bdf.jpg;6
data/images/27178f1195704f789f5a6679413297f9.jpg;27178f1195704f789f5a6679413297f9.jpg;6
data/images/12359f9dbf1347f6bf42e2eb6e9823d1.jpg;12359f9dbf1347f6bf42e2eb6e9823d1.jpg;6
